timestamp,target position,current postion,target angle,current angle,,,,time,target position,current postion,target angle,current angle
1711194249.356 ,123,0,90,0,,,,0.000,123,0,90,0.00
1711194249.376 ,123,0,90,0,,,,0.020,123,0,90,0.00
1711194249.392 ,123,0,90,0,,,,0.036,123,0,90,0.00
1711194249.412 ,123,0,90,0,,,,0.056,123,0,90,0.00
1711194249.433 ,123,0,90,0,,,,0.077,123,0,90,0.00
1711194249.454 ,123,4,90,2.91,,,,0.098,123,4,90,2.91
1711194249.474 ,123,10,90,7.27,,,,0.118,123,10,90,7.27
1711194249.495 ,123,19,90,13.82,,,,0.139,123,19,90,13.82
1711194249.519 ,123,28,90,20.36,,,,0.163,123,28,90,20.36
1711194249.540 ,123,38,90,27.64,,,,0.184,123,38,90,27.64
1711194249.560 ,123,48,90,34.91,,,,0.204,123,48,90,34.91
1711194249.585 ,123,58,90,42.18,,,,0.229,123,58,90,42.18
1711194249.604 ,123,67,90,48.73,,,,0.248,123,67,90,48.73
1711194249.625 ,123,77,90,56,,,,0.269,123,77,90,56.00
1711194249.650 ,123,85,90,61.82,,,,0.294,123,85,90,61.82
1711194249.670 ,123,93,90,67.64,,,,0.314,123,93,90,67.64
1711194249.695 ,123,100,90,72.73,,,,0.339,123,100,90,72.73
1711194249.715 ,123,106,90,77.09,,,,0.359,123,106,90,77.09
1711194249.740 ,123,112,90,81.45,,,,0.384,123,112,90,81.45
1711194249.761 ,123,116,90,84.36,,,,0.405,123,116,90,84.36
1711194249.785 ,123,120,90,87.27,,,,0.429,123,120,90,87.27
1711194249.810 ,123,122,90,88.73,,,,0.454,123,122,90,88.73
1711194249.831 ,123,124,90,90.18,,,,0.475,123,124,90,90.18
1711194249.856 ,123,125,90,90.91,,,,0.500,123,125,90,90.91
1711194249.875 ,123,125,90,90.91,,,,0.519,123,125,90,90.91
1711194249.900 ,123,124,90,90.18,,,,0.544,123,124,90,90.18
1711194249.920 ,123,124,90,90.18,,,,0.564,123,124,90,90.18
1711194249.945 ,123,124,90,90.18,,,,0.589,123,124,90,90.18
1711194249.970 ,123,124,90,90.18,,,,0.614,123,124,90,90.18
1711194249.990 ,123,124,90,90.18,,,,0.634,123,124,90,90.18
1711194250.140 ,123,124,90,90.18,,,,0.784,123,124,90,90.18
1711194250.350 ,123,124,90,90.18,,,,0.994,123,124,90,90.18
1711194250.590 ,123,124,90,90.18,,,,1.234,123,124,90,90.18
1711194250.840 ,123,124,90,90.18,,,,1.484,123,124,90,90.18
1711194250.105 ,123,124,90,90.18,,,,0.749,123,124,90,90.18
1711194250.129 ,123,124,90,90.18,,,,0.773,123,124,90,90.18
1711194250.150 ,123,124,90,90.18,,,,0.794,123,124,90,90.18
1711194250.174 ,123,124,90,90.18,,,,0.818,123,124,90,90.18
1711194250.199 ,123,124,90,90.18,,,,0.843,123,124,90,90.18
1711194250.220 ,123,124,90,90.18,,,,0.864,123,124,90,90.18
1711194250.244 ,123,124,90,90.18,,,,0.888,123,124,90,90.18
1711194250.264 ,123,124,90,90.18,,,,0.908,123,124,90,90.18
1711194250.290 ,123,124,90,90.18,,,,0.934,123,124,90,90.18
1711194250.309 ,123,124,90,90.18,,,,0.953,123,124,90,90.18
1711194250.334 ,123,124,90,90.18,,,,0.978,123,124,90,90.18
1711194250.358 ,123,124,90,90.18,,,,1.002,123,124,90,90.18
1711194250.379 ,123,124,90,90.18,,,,1.023,123,124,90,90.18
1711194250.404 ,123,124,90,90.18,,,,1.048,123,124,90,90.18
1711194250.424 ,123,124,90,90.18,,,,1.068,123,124,90,90.18
1711194250.449 ,123,124,90,90.18,,,,1.093,123,124,90,90.18
1711194250.473 ,123,124,90,90.18,,,,1.117,123,124,90,90.18
1711194250.494 ,123,124,90,90.18,,,,1.138,123,124,90,90.18
1711194250.519 ,123,124,90,90.18,,,,1.163,123,124,90,90.18
1711194250.538 ,123,124,90,90.18,,,,1.182,123,124,90,90.18
1711194250.563 ,123,124,90,90.18,,,,1.207,123,124,90,90.18
1711194250.588 ,123,124,90,90.18,,,,1.232,123,124,90,90.18
1711194250.608 ,123,124,90,90.18,,,,1.252,123,124,90,90.18
1711194250.633 ,123,124,90,90.18,,,,1.277,123,124,90,90.18
1711194250.654 ,123,124,90,90.18,,,,1.298,123,124,90,90.18
1711194250.678 ,123,124,90,90.18,,,,1.322,123,124,90,90.18
1711194250.703 ,123,124,90,90.18,,,,1.347,123,124,90,90.18
1711194250.723 ,123,124,90,90.18,,,,1.367,123,124,90,90.18
1711194250.748 ,123,124,90,90.18,,,,1.392,123,124,90,90.18
1711194250.768 ,123,124,90,90.18,,,,1.412,123,124,90,90.18
1711194250.793 ,123,124,90,90.18,,,,1.437,123,124,90,90.18
1711194250.814 ,123,124,90,90.18,,,,1.458,123,124,90,90.18
1711194250.838 ,123,124,90,90.18,,,,1.482,123,124,90,90.18
1711194250.863 ,123,124,90,90.18,,,,1.507,123,124,90,90.18
1711194250.883 ,123,124,90,90.18,,,,1.527,123,124,90,90.18
1711194250.908 ,123,124,90,90.18,,,,1.552,123,124,90,90.18
1711194250.928 ,123,124,90,90.18,,,,1.572,123,124,90,90.18
1711194250.953 ,123,124,90,90.18,,,,1.597,123,124,90,90.18
1711194250.977 ,123,124,90,90.18,,,,1.621,123,124,90,90.18
1711194250.998 ,123,124,90,90.18,,,,1.642,123,124,90,90.18
1711194251.220 ,123,124,90,90.18,,,,1.864,123,124,90,90.18
1711194251.430 ,123,124,90,90.18,,,,2.074,123,124,90,90.18
1711194251.670 ,123,124,90,90.18,,,,2.314,123,124,90,90.18
1711194251.920 ,123,124,90,90.18,,,,2.564,123,124,90,90.18
1711194251.113 ,123,124,90,90.18,,,,1.757,123,124,90,90.18
1711194251.137 ,123,124,90,90.18,,,,1.781,123,124,90,90.18
1711194251.158 ,123,124,90,90.18,,,,1.802,123,124,90,90.18
1711194251.182 ,123,124,90,90.18,,,,1.826,123,124,90,90.18
1711194251.203 ,123,124,90,90.18,,,,1.847,123,124,90,90.18
1711194251.227 ,123,124,90,90.18,,,,1.871,123,124,90,90.18
1711194251.252 ,123,124,90,90.18,,,,1.896,123,124,90,90.18
1711194251.272 ,123,124,90,90.18,,,,1.916,123,124,90,90.18
1711194251.296 ,123,124,90,90.18,,,,1.940,123,124,90,90.18
1711194251.317 ,123,124,90,90.18,,,,1.961,123,124,90,90.18
1711194251.342 ,123,124,90,90.18,,,,1.986,123,124,90,90.18
1711194251.366 ,123,124,90,90.18,,,,2.010,123,124,90,90.18
1711194251.386 ,123,124,90,90.18,,,,2.030,123,124,90,90.18
1711194251.411 ,123,124,90,90.18,,,,2.055,123,124,90,90.18
1711194251.432 ,123,124,90,90.18,,,,2.076,123,124,90,90.18
1711194251.456 ,123,124,90,90.18,,,,2.100,123,124,90,90.18
1711194251.481 ,123,124,90,90.18,,,,2.125,123,124,90,90.18
1711194251.501 ,123,124,90,90.18,,,,2.145,123,124,90,90.18
1711194251.526 ,123,124,90,90.18,,,,2.170,123,124,90,90.18
1711194251.546 ,123,124,90,90.18,,,,2.190,123,124,90,90.18
1711194251.571 ,123,124,90,90.18,,,,2.215,123,124,90,90.18
1711194251.596 ,123,124,90,90.18,,,,2.240,123,124,90,90.18
1711194251.616 ,123,124,90,90.18,,,,2.260,123,124,90,90.18
1711194251.641 ,123,124,90,90.18,,,,2.285,123,124,90,90.18
1711194251.661 ,123,124,90,90.18,,,,2.305,123,124,90,90.18
1711194251.685 ,123,124,90,90.18,,,,2.329,123,124,90,90.18
1711194251.706 ,123,124,90,90.18,,,,2.350,123,124,90,90.18
1711194251.731 ,123,124,90,90.18,,,,2.375,123,124,90,90.18
1711194251.755 ,123,124,90,90.18,,,,2.399,123,124,90,90.18
1711194251.776 ,123,124,90,90.18,,,,2.420,123,124,90,90.18
1711194251.800 ,123,124,90,90.18,,,,2.444,123,124,90,90.18
1711194251.820 ,123,124,90,90.18,,,,2.464,123,124,90,90.18
1711194251.846 ,123,124,90,90.18,,,,2.490,123,124,90,90.18
1711194251.871 ,123,124,90,90.18,,,,2.515,123,124,90,90.18
1711194251.891 ,123,124,90,90.18,,,,2.535,123,124,90,90.18
1711194251.915 ,123,124,90,90.18,,,,2.559,123,124,90,90.18
1711194251.936 ,123,124,90,90.18,,,,2.580,123,124,90,90.18
1711194251.960 ,123,124,90,90.18,,,,2.604,123,124,90,90.18
1711194251.984 ,123,124,90,90.18,,,,2.628,123,124,90,90.18
1711194252.500 ,123,124,90,90.18,,,,3.144,123,124,90,90.18
1711194252.300 ,123,124,90,90.18,,,,2.944,123,124,90,90.18
1711194252.500 ,123,124,90,90.18,,,,3.144,123,124,90,90.18
1711194252.750 ,123,124,90,90.18,,,,3.394,123,124,90,90.18
1711194252.950 ,123,124,90,90.18,,,,3.594,123,124,90,90.18
1711194252.120 ,123,124,90,90.18,,,,2.764,123,124,90,90.18
1711194252.145 ,123,124,90,90.18,,,,2.789,123,124,90,90.18
1711194252.165 ,123,124,90,90.18,,,,2.809,123,124,90,90.18
1711194252.189 ,123,124,90,90.18,,,,2.833,123,124,90,90.18
1711194252.210 ,123,124,90,90.18,,,,2.854,123,124,90,90.18
1711194252.235 ,123,124,90,90.18,,,,2.879,123,124,90,90.18
1711194252.259 ,123,124,90,90.18,,,,2.903,123,124,90,90.18
1711194252.279 ,123,124,90,90.18,,,,2.923,123,124,90,90.18
1711194252.304 ,123,124,90,90.18,,,,2.948,123,124,90,90.18
1711194252.324 ,123,124,90,90.18,,,,2.968,123,124,90,90.18
1711194252.349 ,123,124,90,90.18,,,,2.993,123,124,90,90.18
1711194252.374 ,123,124,90,90.18,,,,3.018,123,124,90,90.18
1711194252.394 ,123,124,90,90.18,,,,3.038,123,124,90,90.18
1711194252.419 ,123,124,90,90.18,,,,3.063,123,124,90,90.18
1711194252.439 ,123,124,90,90.18,,,,3.083,123,124,90,90.18
1711194252.464 ,123,124,90,90.18,,,,3.108,123,124,90,90.18
1711194252.484 ,123,124,90,90.18,,,,3.128,123,124,90,90.18
1711194252.509 ,123,124,90,90.18,,,,3.153,123,124,90,90.18
1711194252.533 ,123,124,90,90.18,,,,3.177,123,124,90,90.18
1711194252.555 ,123,124,90,90.18,,,,3.199,123,124,90,90.18
1711194252.578 ,123,124,90,90.18,,,,3.222,123,124,90,90.18
1711194252.599 ,123,124,90,90.18,,,,3.243,123,124,90,90.18
1711194252.624 ,123,124,90,90.18,,,,3.268,123,124,90,90.18
1711194252.648 ,123,124,90,90.18,,,,3.292,123,124,90,90.18
1711194252.669 ,123,124,90,90.18,,,,3.313,123,124,90,90.18
1711194252.693 ,123,124,90,90.18,,,,3.337,123,124,90,90.18
1711194252.713 ,123,124,90,90.18,,,,3.357,123,124,90,90.18
1711194252.738 ,123,124,90,90.18,,,,3.382,123,124,90,90.18
1711194252.762 ,123,124,90,90.18,,,,3.406,123,124,90,90.18
1711194252.783 ,123,124,90,90.18,,,,3.427,123,124,90,90.18
1711194252.808 ,123,124,90,90.18,,,,3.452,123,124,90,90.18
1711194252.828 ,123,124,90,90.18,,,,3.472,123,124,90,90.18
1711194252.853 ,123,124,90,90.18,,,,3.497,123,124,90,90.18
1711194252.878 ,123,124,90,90.18,,,,3.522,123,124,90,90.18
1711194252.898 ,123,124,90,90.18,,,,3.542,123,124,90,90.18
1711194252.922 ,123,124,90,90.18,,,,3.566,123,124,90,90.18
1711194252.942 ,123,124,90,90.18,,,,3.586,123,124,90,90.18
1711194252.967 ,123,124,90,90.18,,,,3.611,123,124,90,90.18
1711194252.988 ,123,124,90,90.18,,,,3.632,123,124,90,90.18
1711194253.120 ,123,124,90,90.18,,,,3.764,123,124,90,90.18
1711194253.370 ,123,124,90,90.18,,,,4.014,123,124,90,90.18
1711194253.580 ,123,124,90,90.18,,,,4.224,123,124,90,90.18
1711194253.820 ,123,124,90,90.18,,,,4.464,123,124,90,90.18
1711194253.103 ,123,124,90,90.18,,,,3.747,123,124,90,90.18
1711194253.127 ,123,124,90,90.18,,,,3.771,123,124,90,90.18
1711194253.151 ,123,124,90,90.18,,,,3.795,123,124,90,90.18
1711194253.172 ,123,124,90,90.18,,,,3.816,123,124,90,90.18
1711194253.197 ,123,124,90,90.18,,,,3.841,123,124,90,90.18
1711194253.218 ,123,124,90,90.18,,,,3.862,123,124,90,90.18
1711194253.242 ,123,124,90,90.18,,,,3.886,123,124,90,90.18
1711194253.267 ,123,124,90,90.18,,,,3.911,123,124,90,90.18
1711194253.286 ,123,124,90,90.18,,,,3.930,123,124,90,90.18
1711194253.312 ,123,124,90,90.18,,,,3.956,123,124,90,90.18
1711194253.332 ,123,124,90,90.18,,,,3.976,123,124,90,90.18
1711194253.357 ,123,124,90,90.18,,,,4.001,123,124,90,90.18
1711194253.377 ,123,124,90,90.18,,,,4.021,123,124,90,90.18
1711194253.401 ,123,124,90,90.18,,,,4.045,123,124,90,90.18
1711194253.426 ,123,124,90,90.18,,,,4.070,123,124,90,90.18
1711194253.446 ,123,124,90,90.18,,,,4.090,123,124,90,90.18
1711194253.471 ,123,124,90,90.18,,,,4.115,123,124,90,90.18
1711194253.492 ,123,124,90,90.18,,,,4.136,123,124,90,90.18
1711194253.516 ,123,124,90,90.18,,,,4.160,123,124,90,90.18
1711194253.541 ,123,124,90,90.18,,,,4.185,123,124,90,90.18
1711194253.562 ,123,124,90,90.18,,,,4.206,123,124,90,90.18
1711194253.587 ,123,124,90,90.18,,,,4.231,123,124,90,90.18
1711194253.607 ,123,124,90,90.18,,,,4.251,123,124,90,90.18
1711194253.631 ,123,124,90,90.18,,,,4.275,123,124,90,90.18
1711194253.656 ,123,124,90,90.18,,,,4.300,123,124,90,90.18
1711194253.676 ,123,124,90,90.18,,,,4.320,123,124,90,90.18
1711194253.701 ,123,124,90,90.18,,,,4.345,123,124,90,90.18
1711194253.721 ,123,124,90,90.18,,,,4.365,123,124,90,90.18
1711194253.746 ,123,124,90,90.18,,,,4.390,123,124,90,90.18
1711194253.771 ,123,124,90,90.18,,,,4.415,123,124,90,90.18
1711194253.791 ,123,124,90,90.18,,,,4.435,123,124,90,90.18
1711194253.815 ,123,124,90,90.18,,,,4.459,123,124,90,90.18
1711194253.835 ,123,124,90,90.18,,,,4.479,123,124,90,90.18
1711194253.861 ,123,124,90,90.18,,,,4.505,123,124,90,90.18
1711194253.881 ,123,124,90,90.18,,,,4.525,123,124,90,90.18
1711194253.906 ,123,124,90,90.18,,,,4.550,123,124,90,90.18
1711194253.931 ,123,124,90,90.18,,,,4.575,123,124,90,90.18
1711194253.951 ,123,124,90,90.18,,,,4.595,123,124,90,90.18
1711194253.975 ,123,124,90,90.18,,,,4.619,123,124,90,90.18
1711194253.996 ,123,124,90,90.18,,,,4.640,123,124,90,90.18
1711194254.200 ,123,124,90,90.18,,,,4.844,123,124,90,90.18
1711194254.440 ,123,124,90,90.18,,,,5.084,123,124,90,90.18
1711194254.650 ,123,124,90,90.18,,,,5.294,123,124,90,90.18
1711194254.900 ,123,124,90,90.18,,,,5.544,123,124,90,90.18
1711194254.110 ,123,124,90,90.18,,,,4.754,123,124,90,90.18
1711194254.134 ,123,124,90,90.18,,,,4.778,123,124,90,90.18
1711194254.160 ,123,124,90,90.18,,,,4.804,123,124,90,90.18
1711194254.180 ,123,124,90,90.18,,,,4.824,123,124,90,90.18
1711194254.205 ,123,124,90,90.18,,,,4.849,123,124,90,90.18
1711194254.225 ,123,124,90,90.18,,,,4.869,123,124,90,90.18
1711194254.250 ,123,124,90,90.18,,,,4.894,123,124,90,90.18
1711194254.270 ,123,124,90,90.18,,,,4.914,123,124,90,90.18
1711194254.295 ,123,124,90,90.18,,,,4.939,123,124,90,90.18
1711194254.319 ,123,124,90,90.18,,,,4.963,123,124,90,90.18
1711194254.340 ,123,124,90,90.18,,,,4.984,123,124,90,90.18
1711194254.364 ,123,124,90,90.18,,,,5.008,123,124,90,90.18
1711194254.384 ,123,124,90,90.18,,,,5.028,123,124,90,90.18
1711194254.410 ,123,124,90,90.18,,,,5.054,123,124,90,90.18
1711194254.434 ,123,124,90,90.18,,,,5.078,123,124,90,90.18
1711194254.455 ,123,124,90,90.18,,,,5.099,123,124,90,90.18
1711194254.479 ,123,124,90,90.18,,,,5.123,123,124,90,90.18
1711194254.499 ,123,124,90,90.18,,,,5.143,123,124,90,90.18
1711194254.524 ,123,124,90,90.18,,,,5.168,123,124,90,90.18
1711194254.548 ,123,124,90,90.18,,,,5.192,123,124,90,90.18
1711194254.569 ,123,124,90,90.18,,,,5.213,123,124,90,90.18
1711194254.593 ,123,124,90,90.18,,,,5.237,123,124,90,90.18
1711194254.614 ,123,124,90,90.18,,,,5.258,123,124,90,90.18
1711194254.638 ,123,124,90,90.18,,,,5.282,123,124,90,90.18
1711194254.664 ,123,124,90,90.18,,,,5.308,123,124,90,90.18
1711194254.683 ,123,124,90,90.18,,,,5.327,123,124,90,90.18
1711194254.708 ,123,124,90,90.18,,,,5.352,123,124,90,90.18
1711194254.729 ,123,124,90,90.18,,,,5.373,123,124,90,90.18
1711194254.754 ,123,124,90,90.18,,,,5.398,123,124,90,90.18
1711194254.773 ,123,124,90,90.18,,,,5.417,123,124,90,90.18
1711194254.798 ,123,124,90,90.18,,,,5.442,123,124,90,90.18
1711194254.823 ,123,124,90,90.18,,,,5.467,123,124,90,90.18
1711194254.843 ,123,124,90,90.18,,,,5.487,123,124,90,90.18
1711194254.868 ,123,124,90,90.18,,,,5.512,123,124,90,90.18
1711194254.889 ,123,124,90,90.18,,,,5.533,123,124,90,90.18
1711194254.913 ,123,124,90,90.18,,,,5.557,123,124,90,90.18
1711194254.938 ,123,124,90,90.18,,,,5.582,123,124,90,90.18
1711194254.959 ,123,124,90,90.18,,,,5.603,123,124,90,90.18
1711194254.983 ,123,124,90,90.18,,,,5.627,123,124,90,90.18
1711194255.300 ,123,124,90,90.18,,,,5.944,123,124,90,90.18
1711194255.280 ,123,124,90,90.18,,,,5.924,123,124,90,90.18
1711194255.530 ,123,124,90,90.18,,,,6.174,123,124,90,90.18
1711194255.730 ,123,124,90,90.18,,,,6.374,123,124,90,90.18
1711194255.980 ,123,124,90,90.18,,,,6.624,123,124,90,90.18
1711194255.118 ,123,124,90,90.18,,,,5.762,123,124,90,90.18
1711194255.143 ,123,124,90,90.18,,,,5.787,123,124,90,90.18
1711194255.163 ,123,124,90,90.18,,,,5.807,123,124,90,90.18
1711194255.188 ,123,124,90,90.18,,,,5.832,123,124,90,90.18
1711194255.212 ,123,124,90,90.18,,,,5.856,123,124,90,90.18
1711194255.233 ,123,124,90,90.18,,,,5.877,123,124,90,90.18
1711194255.257 ,123,124,90,90.18,,,,5.901,123,124,90,90.18
1711194255.277 ,123,124,90,90.18,,,,5.921,123,124,90,90.18
1711194255.302 ,123,124,90,90.18,,,,5.946,123,124,90,90.18
1711194255.327 ,123,124,90,90.18,,,,5.971,123,124,90,90.18
1711194255.348 ,123,124,90,90.18,,,,5.992,123,124,90,90.18
1711194255.371 ,123,124,90,90.18,,,,6.015,123,124,90,90.18
1711194255.393 ,123,124,90,90.18,,,,6.037,123,124,90,90.18
1711194255.417 ,123,124,90,90.18,,,,6.061,123,124,90,90.18
1711194255.443 ,123,124,90,90.18,,,,6.087,123,124,90,90.18
1711194255.462 ,123,124,90,90.18,,,,6.106,123,124,90,90.18
1711194255.487 ,123,124,90,90.18,,,,6.131,123,124,90,90.18
1711194255.506 ,123,124,90,90.18,,,,6.150,123,124,90,90.18
1711194255.532 ,123,124,90,90.18,,,,6.176,123,124,90,90.18
1711194255.552 ,123,124,90,90.18,,,,6.196,123,124,90,90.18
1711194255.577 ,123,124,90,90.18,,,,6.221,123,124,90,90.18
1711194255.601 ,123,124,90,90.18,,,,6.245,123,124,90,90.18
1711194255.622 ,123,124,90,90.18,,,,6.266,123,124,90,90.18
1711194255.646 ,123,124,90,90.18,,,,6.290,123,124,90,90.18
1711194255.667 ,123,124,90,90.18,,,,6.311,123,124,90,90.18
1711194255.691 ,123,124,90,90.18,,,,6.335,123,124,90,90.18
1711194255.715 ,123,124,90,90.18,,,,6.359,123,124,90,90.18
1711194255.737 ,123,124,90,90.18,,,,6.381,123,124,90,90.18
1711194255.761 ,123,124,90,90.18,,,,6.405,123,124,90,90.18
